"urn","current_urn","number_of_links"
100000,100000,0
100001,100001,0
100002,100002,0
100003,100003,0
100004,100004,0
100005,100005,0
100006,100006,0
100007,100007,0
100008,100008,0
100009,100009,0
100010,100010,0
100011,100011,0
100012,100012,0
100013,100013,0
100014,100014,0
100015,100015,0
100016,100016,0
100017,100017,0
100018,100018,0
100019,100019,0
100020,100020,0
100021,100021,0
100022,100022,0
100023,100023,0
100024,100024,0
100025,100025,0
100026,100026,0
100027,100027,0
100028,100028,0
100029,100029,0
100030,100030,0
100031,100031,0
100032,100032,0
100033,100033,0
100034,100034,0
100035,100035,0
100036,100036,0
100037,100037,0
100038,100038,0
100039,100039,0
100040,100040,0
100041,100041,0
100042,100042,0
100043,100043,0
100044,100044,0
100045,100045,0
100046,100046,0
100047,100047,0
100048,100048,0
100049,100049,0
100050,100050,0
100051,100051,0
100052,100052,0
100053,100053,0
100054,100054,0
100055,100055,0
100056,100056,0
100057,100057,0
100059,100059,0
100060,100060,0
100061,100061,0
100062,100062,0
100063,100063,0
100064,100064,0
100065,100065,0
100066,100066,0
100067,100067,0
100068,100068,0
100069,100069,0
100070,100070,0
100071,100071,0
100072,100072,0
100073,100073,0
100074,100074,0
100075,100075,0
100076,100076,0
100077,100077,0
100078,100078,0
100079,100079,0
100080,100080,0
100081,100081,0
100082,100082,0
100083,100083,0
100084,100084,0
100085,100085,0
100086,100086,0
100087,100087,0
100088,100088,0
100089,100089,0
100090,100090,0
100091,100091,0
100092,100092,0
100093,100093,0
100094,100094,0
100095,100095,0
100096,100096,0
100097,100097,0
100098,100098,0
100099,100099,0
100100,100100,0
100101,100101,0
100102,100102,0
100103,100103,0
100104,100104,0
100105,100105,0
100106,100106,0
100107,100107,0
100108,100108,0
100109,100109,0
100110,100110,0
100111,143211,1
100112,143601,1
100113,100113,0
100114,100114,0
100115,100115,0
100116,100116,0
100117,100117,0
100118,100118,0
100119,100119,0
100120,100120,0
100121,100121,0
100122,100122,0
100123,100123,0
100124,100124,0
100125,100125,0
100126,100126,0
100127,100127,0
100128,145210,1
100129,100129,0
100130,143597,1
100131,100131,0
100132,143598,1
100133,134013,1
100134,100134,0
100135,100135,0
100136,100136,0
100137,100137,0
100138,100138,0
100139,100139,0
100140,100140,0
100141,100141,0
100142,100142,0
100143,100143,0
100144,100144,0
100145,143594,1
100146,100146,0
100147,100147,0
100148,143210,1
100149,100149,0
100150,100150,0
100151,143593,1
100152,100152,0
100153,100153,0
100154,100154,0
100155,100155,0
100156,143592,1
100157,143079,1
100158,100158,0
100159,100159,0
100160,145215,1
100161,100161,0
100162,100162,0
100163,100163,0
100164,100164,0
100165,100165,0
100166,100166,0
100167,100167,0
100168,100168,0
100169,100169,0
100170,100170,0
100171,100171,0
100172,144091,1
100173,100173,0
100174,100174,0
100175,100175,0
100176,100176,0
100177,100177,0
100178,100178,0
100179,100179,0
100180,100180,0
100181,100181,0
100182,100182,0
100183,100183,0
100184,100184,0
100185,145315,2
100186,100186,0
100187,141163,1
100188,138449,1
100189,141309,1
100190,100190,0
100191,100191,0
100192,147439,1
100193,100193,0
100194,105135,1
100195,100195,0
100196,141716,1
100197,100197,0
100198,100198,0
100199,100199,0
100200,100200,0
100201,100201,0
100202,100202,0
100203,100203,0
100204,100204,0
100205,100205,0
100206,143595,2
100207,100207,0
100208,100208,0
100209,145394,2
100210,100210,0
100211,100211,0
100212,100212,0
100213,100213,0
100214,100214,0
100215,100215,0
100216,100216,0
100217,100217,0
100218,100218,0
100219,100219,0
100220,100220,0
100221,100221,0
100222,121792,1
100223,100223,0
100224,100224,0
100225,100225,0
100226,100226,0
100227,100227,0
100228,100228,0
100229,100229,0
100230,100230,0
100231,100231,0
100232,100232,0
100233,141576,1
100234,100234,0
100235,100235,0
100236,100236,0
100237,100237,0
100238,100238,0
100239,100239,0
100240,100240,0
100241,100241,0
100242,100242,0
100243,100243,0
100244,100244,0
100245,100245,0
100246,100246,0
100247,100247,0
100248,100248,0
100249,100249,0
100250,100250,0
100251,100251,0
100252,100252,0
100253,100253,0
100254,100254,0
100255,100255,0
100256,100256,0
100257,100257,0
100258,100258,0
100259,100259,0
100260,100260,0
100261,100261,0
100262,132137,1
100263,100263,0
100264,100264,0
100265,100265,0
100266,100266,0
100267,100267,0
100268,100268,0
100269,100269,0
100270,100270,0
100271,100271,0
100272,100272,0
100273,100273,0
100274,100274,0
100275,100275,0
100276,100276,0
100277,100277,0
100278,137442,1
100279,100279,0
100280,100280,0
100281,100281,0
100282,100282,0
100283,136137,1
100284,100284,0
100285,100285,0
100286,100286,0
100287,100287,0
100288,100288,0
100289,100289,0
100290,100290,0
100291,100291,0
100292,100292,0
100293,100293,0
100294,100294,0
100295,100295,0
100296,100296,0
100297,100297,0
100298,100298,0
100299,100299,0
100300,100300,0
100301,100301,0
100302,100302,0
100303,100303,0
100304,100304,0
100305,100305,0
100306,100306,0
100307,100307,0
100308,100308,0
100309,100309,0
100310,100310,0
100311,100311,0
100312,100312,0
100313,100313,0
100314,100314,0
100315,100315,0
100316,100316,0
100317,100317,0
